user_id,total_views,unique_channels,last_view_date
772142,1,1,2016-03-10T20:10:00.000Z
771003,3,3,2016-02-27T16:24:00.000Z
808984,1,1,2016-02-19T15:58:00.000Z
771855,1,1,2016-02-19T01:15:00.000Z
733281,1,1,2016-01-26T16:09:00.000Z
892523,9,4,2016-03-27T20:22:00.000Z
771856,1,1,2016-02-06T09:28:00.000Z
808988,4,3,2016-02-20T22:04:00.000Z
730254,1,1,2016-01-21T09:02:00.000Z
771858,1,1,2016-03-05T11:37:00.000Z
866202,1,1,2016-03-16T11:31:00.000Z
808990,1,1,2016-02-24T08:47:00.000Z
2090526,9,2,2016-03-24T01:41:00.000Z
939659,10,7,2016-03-31T17:51:00.000Z
778615,1,1,2016-03-12T15:45:00.000Z
771867,11,6,2016-03-31T17:57:00.000Z
809337,5,3,2016-02-24T16:05:00.000Z
779442,3,2,2016-01-22T14:13:00.000Z
939662,1,1,2016-03-30T12:48:00.000Z
904173,1,1,2016-03-25T08:20:00.000Z
904174,2,2,2016-03-29T16:58:00.000Z
831766,2,2,2016-03-05T19:35:00.000Z
808997,6,2,2016-03-22T04:33:00.000Z
892532,1,1,2016-03-20T20:39:00.000Z
816289,2,2,2016-03-09T05:31:00.000Z
868961,1,1,2016-03-16T16:28:00.000Z
2285609,2,2,2016-03-07T21:45:00.000Z
793649,3,3,2016-03-30T07:28:00.000Z
771872,3,2,2016-02-07T14:10:00.000Z
809000,6,6,2016-03-12T20:20:00.000Z
771876,6,4,2016-02-07T17:54:00.000Z
771877,2,2,2016-01-31T18:38:00.000Z
2359733,1,1,2016-01-26T21:50:00.000Z
809006,2,2,2016-02-16T13:23:00.000Z
891747,1,1,2016-03-24T13:44:00.000Z
601422,1,1,2016-01-09T15:41:00.000Z
866215,1,1,2016-03-07T16:00:00.000Z
939668,5,4,2016-03-12T18:50:00.000Z
416232,1,1,2016-02-13T05:15:00.000Z
793652,1,1,2016-03-24T08:50:00.000Z
830884,1,1,2016-03-11T12:26:00.000Z
809008,7,6,2016-03-09T12:11:00.000Z
771881,4,3,2016-03-22T07:26:00.000Z
771882,3,2,2016-02-17T23:09:00.000Z
930047,1,1,2016-03-28T15:36:00.000Z
809010,3,2,2016-02-16T14:34:00.000Z
939673,1,1,2016-03-28T11:20:00.000Z
764396,5,4,2016-01-25T08:39:00.000Z
809011,7,4,2016-02-27T10:18:00.000Z
875048,1,1,2016-03-15T08:53:00.000Z
721900,1,1,2016-02-06T19:20:00.000Z
831775,2,2,2016-03-29T16:07:00.000Z
803575,3,1,2016-02-19T09:08:00.000Z
939679,3,2,2016-03-28T16:27:00.000Z
939680,6,4,2016-03-28T10:53:00.000Z
800825,1,1,2016-02-16T12:42:00.000Z
788725,3,3,2016-02-19T19:41:00.000Z
2090538,1,1,2016-03-30T14:58:00.000Z
809018,1,1,2016-02-17T22:03:00.000Z
764405,1,1,2016-02-12T17:37:00.000Z
788727,4,3,2016-01-23T10:07:00.000Z
771888,1,1,2016-02-25T16:11:00.000Z
788728,1,1,2016-03-15T08:58:00.000Z
779471,1,1,2016-02-10T06:38:00.000Z
809021,1,1,2016-02-19T21:28:00.000Z
820442,1,1,2016-02-27T09:56:00.000Z
2425739,1,1,2016-03-26T04:45:00.000Z
771889,2,1,2016-01-27T15:43:00.000Z
793662,3,3,2016-03-31T20:49:00.000Z
892554,1,1,2016-03-22T06:04:00.000Z
