SUBID,month_id,watch_date,watch_time,month,day_name,day_type,month_Name,Tv_Channel,Time_of_day,Duration,Usage_level,hour_of_day,Region,Age,Age_Group,Email_flag,Social_Media_flag,Gender,Race
894072,2016-03-11,2016-03-11,23:29:00,2016-03,Fri,weekday,Mar,Africa Magic,04 evening,00:01:48,05 extreme usage:>2 hrs,23,Gauteng,43,adult,1,1,male,coloured
1109231,2016-03-24,2016-03-24,11:29:00,2016-03,Thu,weekday,Mar,Supersport Live Events,02 morning,01:39:42,05 extreme usage:>2 hrs,11,Gauteng,32,youth,1,1,male,indian_asian
1109231,2016-03-18,2016-03-18,19:58:00,2016-03,Fri,weekday,Mar,E! Entertainment,04 evening,00:05:02,05 extreme usage:>2 hrs,19,Gauteng,32,youth,1,1,male,indian_asian
1109231,2016-03-20,2016-03-20,11:35:00,2016-03,Sun,weekday,Mar,ICC Cricket World Cup 2011,02 morning,01:32:08,05 extreme usage:>2 hrs,11,Gauteng,32,youth,1,1,male,indian_asian
1109231,2016-03-24,2016-03-24,09:32:00,2016-03,Thu,weekday,Mar,Supersport Live Events,02 morning,00:12:52,05 extreme usage:>2 hrs,9,Gauteng,32,youth,1,1,male,indian_asian
773365,2016-02-02,2016-02-02,23:15:00,2016-02,Tue,weekday,Feb,Boomerang,04 evening,00:14:29,05 extreme usage:>2 hrs,23,Eastern Cape,44,adult,1,1,male,black
773365,2016-01-15,2016-01-15,03:21:00,2016-01,Fri,weekday,Jan,Boomerang,01 midnight,00:00:00,05 extreme usage:>2 hrs,3,Eastern Cape,44,adult,1,1,male,black
773365,2016-01-15,2016-01-15,14:16:00,2016-01,Fri,weekday,Jan,Africa Magic,03 afternoon,00:00:14,05 extreme usage:>2 hrs,14,Eastern Cape,44,adult,1,1,male,black
773365,2016-01-25,2016-01-25,16:22:00,2016-01,Mon,weekday,Jan,Cartoon Network,03 afternoon,00:04:29,05 extreme usage:>2 hrs,16,Eastern Cape,44,adult,1,1,male,black
773365,2016-01-19,2016-01-19,17:16:00,2016-01,Tue,weekday,Jan,SuperSport Blitz,03 afternoon,00:03:04,05 extreme usage:>2 hrs,17,Eastern Cape,44,adult,1,1,male,black
773365,2016-02-03,2016-02-03,05:55:00,2016-02,Wed,weekday,Feb,Boomerang,01 midnight,00:01:19,05 extreme usage:>2 hrs,5,Eastern Cape,44,adult,1,1,male,black
833519,2016-03-02,2016-03-02,10:36:00,2016-03,Wed,weekday,Mar,ICC Cricket World Cup 2011,02 morning,00:04:44,05 extreme usage:>2 hrs,10,Gauteng,26,youth,1,1,female,black
808826,2016-03-13,2016-03-13,18:32:00,2016-03,Sun,weekday,Mar,Supersport Live Events,04 evening,00:03:18,05 extreme usage:>2 hrs,18,None,0,infant,1,1,None,None
